index,question,options,gold,masked_explanation,pred_noexp,prob_noexp,pred_exp,prob_exp,is_correct_noexp,is_correct_exp,sufficiency,usefulness,probs_noexp,probs_exp,similarity_with_base_clean,gold_prob_noexp,gold_prob_exp,delta_gold_prob,bertscore_P_raw,bertscore_R_raw,bertscore_F1_raw,bertscore_P_clean,bertscore_R_clean,bertscore_F1_clean
0,جرج می‌خواهد دست‌هایش را با مالیدن به سرعت گرم کند. کدام سطح پوست بیشترین گرما را تولید می‌کند؟,"['کف\u200cهای خشک', 'کف\u200cهای مرطوب', 'کف\u200cهای چرب شده با روغن', 'کف\u200cهای پوشیده شده با لوسیون']",A,دست‌های خشک به دلیل افزایش اصطکاک بین پوست، گرمای بیشتری تولید می‌کنند، در حالی که سطوح مرطوب یا چرب باعث کاهش اصطکاک و گرما می‌شوند.,C,0.8796225190162659,A,0.8385151624679565,False,True,True,True,[0.081658   0.03404012 0.8796225  0.00467938],[0.83851516 0.06026914 0.09936701 0.00184863],0.9025737643241882,0.081658,0.83851516,0.75685716,0.852165699005127,0.7738870978355408,0.8111422061920166,0.852165699005127,0.7738870978355408,0.8111422061920166
1,کدام یک از جملات زیر بهترین توضیح را برای این موضوع ارائه می‌دهد که چرا مغناطیس‌ها معمولاً به درب یخچال می‌چسبند؟,"['در یخچال سطحی صاف وجود دارد.', 'درب یخچال حاوی آهن است.', 'درب یخچال یک هادی خوب است.', 'درب یخچال دارای سیم\u200cهای برق است.']",B,درهای یخچال از فلزات حاوی آهن ساخته می‌شوند که خاصیت مغناطیسی دارند و این خاصیت باعث چسبیدن مگنت‌ها می‌شود. سایر گزینه‌ها این ویژگی را ندارند.,B,0.9000676274299622,B,0.6913763880729675,True,True,True,False,[0.05058037 0.9000676  0.03939204 0.00995987],[0.04454486 0.6913764  0.256338   0.00774074],0.941814422607422,0.9000676,0.6913764,-0.2086911999999999,0.7744678258895874,0.678161084651947,0.7231220006942749,0.7744678258895874,0.678161084651947,0.7231220006942749
2,سوالی: چین‌خوردگی مشاهده‌شده در لایه‌های سنگ‌های رسوبی بیشتر احتمالاً ناشی از,"['سرد شدن ماگما در حال جریان.', 'مقارن شدن صفحات قشری.', 'رسوب\u200cگذاری مواد رسوبی در کنار رودخانه.', 'حل شدن معدنی کربنات.']",B,چین‌خوردگی لایه‌های سنگی به دلیل فشار و تنش‌های ناشی از همگرایی صفحات قشری و فعالیت‌های تکتونیکی رخ می‌دهد.,B,0.5060479044914246,B,0.982134222984314,True,True,True,True,[0.4465857  0.5060479  0.0369455  0.01042096],[1.5874721e-02 9.8213422e-01 1.7262958e-03 2.6473604e-04],0.8931465148925781,0.5060479,0.98213422,0.4760863199999999,0.8327069282531738,0.705973207950592,0.7641209363937378,0.8327069282531738,0.705973207950592,0.7641209363937378
3,کدام یک از این موارد را دانشمندان به عنوان جدیدترین توضیح درباره اینکه چرا بسیاری از گیاهان و جانوران در پایان دوره مزوزوئیک منقرض شدند، ارائه می‌دهند؟,"['بیماری جهانی', 'تشکیل کوه\u200cهای جهانی', 'ظهور پستانداران که به گیاهان و جانوران حمله می\u200cکردند', 'ضربه یک سیارک که گرد و غبار ایجاد کرد و نور خورشید را مسدود کرد']",D,برخورد یک سیارک به زمین باعث ایجاد گرد و غبار در جو و مسدود شدن نور خورشید شد. این تغییرات اقلیمی و کاهش دما، منجر به انقراض بسیاری از گیاهان و جانوران گردید.,A,0.6778459548950195,D,0.9098377823829652,False,True,True,True,[0.67784595 0.1168753  0.15007086 0.05520798],[0.08512542 0.00368216 0.00135459 0.9098378 ],0.8183544278144836,0.05520798,0.9098378,0.85462982,0.918877363204956,0.785872220993042,0.8471862077713013,0.918877363204956,0.7858721613883972,0.8471862077713013
4,یک قایق تحت تأثیر جریان یک رودخانه که به سمت شمال می‌رود و بادی که بر روی بادبان‌های آن می‌وزد، قرار دارد. قایق به سمت شمال‌شرقی حرکت می‌کند. در کدام جهت باد به احتمال زیاد بر روی بادبان‌های قایق نیرو وارد می‌کند؟,"['غرب', 'شرق', 'شمال', 'جنوب']",B,قایق به سمت [MASK] [MASK] حرکت می‌کند و برای این حرکت، نیروی باد باید از سمت [MASK] به آن فشار بیاورد تا بتواند در مسیر مورد نظر حرکت کند.,B,0.5282155871391296,B,0.6592906713485718,True,True,True,True,[0.24853863 0.5282156  0.02968371 0.19356208],[0.21404034 0.6592907  0.02556347 0.1011055 ],0.828099250793457,0.5282156,0.6592907,0.1310751,0.7792688608169556,0.7672110199928284,0.7731929421424866,0.7644102573394775,0.7439894676208496,0.7540616393089294
5,کدام شکل زمین نتیجه نیروی سازنده یک یخچال طبیعی است؟,"['دره\u200cهای حفر شده توسط یک یخچال طبیعی متحرک', 'توده\u200cهای سنگی جمع\u200cشده توسط یک یخچال طبیعی آب شده', 'خطوط ایجاد شده در سطح گرانیت توسط یک یخچال طبیعی', 'تپه\u200cهای سنگ بستر خراشیده شده توسط عبور یک یخچال طبیعی']",B,یخچال‌های طبیعی با حرکت خود دره‌های عمیق و باریکی ایجاد می‌کنند که نتیجه‌ی نیروی سازنده‌ی آنها در شکل‌دهی به زمین است.,A,0.5269642472267151,A,0.9287724494934082,False,False,False,False,[0.52696425 0.15097779 0.15097779 0.17108025],[0.92877245 0.00912317 0.05949052 0.00261383],0.8437613248825073,0.15097779,0.00912317,-0.14185462,0.7947648167610168,0.7051854133605957,0.7473002672195435,0.7947649359703064,0.7051854133605957,0.7473002076148987
6,کدام جمله بهترین مقایسه را بین موجودات تک‌سلولی و چندسلولی ارائه می‌دهد؟,"['بافت\u200cها در یک موجود تک\u200cسلولی مانند سلول\u200cها در یک موجود چندسلولی هستند.', 'هسته در یک موجود تک\u200cسلولی مانند پوست یک موجود چندسلولی است.', 'اندامک\u200cها در یک موجود تک\u200cسلولی مانند اعضا در یک موجود چندسلولی هستند.', 'سیتوپلاسم در یک موجود تک\u200cسلولی مانند سیستم عصبی در یک موجود چندسلولی است.']",C,در موجودات یک‌سلولی، اندامک‌ها وظایف خاصی دارند که مشابه اندام‌های موجودات چندسلولی است. این شباهت‌ها نشان‌دهنده عملکرد مشابه و نقش‌های خاص در هر دو نوع موجودات است.,A,0.786097526550293,C,0.8785229325294495,False,True,True,True,[0.7860975  0.023831   0.15539762 0.0346739 ],[1.1982766e-01 1.1747490e-03 8.7852293e-01 4.7464148e-04],0.956288516521454,0.15539762,0.87852293,0.72312531,0.8701050877571106,0.7502527236938477,0.8057463765144348,0.8701050877571106,0.7502527236938477,0.8057463765144348
7,در چارچوب یک آزمایش، یک فضانورد یک ترازو به ماه می‌برد و خود را وزن می‌کند. ترازو ۳۱ پوند را نشان می‌دهد. اگر جرم فضانورد حدود ۸۴ کیلوگرم باشد، وزن و جرم تقریبی فضانورد هنگام ایستادن بر روی زمین کدامند؟,"['۳۱ پوند و ۱۴ کیلوگرم', '۳۱ پوند و ۸۴ کیلوگرم', '۱۸۶ پوند و ۱۴ کیلوگرم', '۱۸۶ پوند و ۸۴ کیلوگرم']",D,وزن یک جسم به نیروی گرانشی وابسته است و در زمین با ضرب کردن جرم در شتاب گرانش محاسبه می‌شود. با جرم 84 کیلوگرم، وزن فضانورد تقریباً 823.2 نیوتن یا 186 پوند است. بنابراین، وزن 186 پوند و جرم 84 کیلوگرم صحیح است.,D,0.5123115181922913,D,0.9714373350143432,True,True,True,True,[0.1663232  0.01063269 0.31073263 0.5123115 ],[0.02257985 0.00153658 0.00444624 0.97143734],0.9484031200408936,0.5123115,0.97143734,0.45912584,0.8492947816848755,0.7506399750709534,0.7969257235527039,0.8492947816848755,0.7506399750709534,0.7969257235527039
8,کدام یک از موارد زیر ویژگی‌ای است که سگ از والدین خود به ارث نمی‌برد؟,"['طول موهایش', 'شکل بینی\u200cاش', 'اندازه اشتهایش', 'رنگ موهایش']",C,حجم اشتها تحت تأثیر عوامل محیطی و رفتاری است و به طور مستقیم از والدین به فرزندان منتقل نمی‌شود. در مقابل، ویژگی‌های دیگر مانند طول مو و رنگ مو به صورت ژنتیکی منتقل می‌شوند.,B,0.4021743535995483,C,0.9764713048934937,False,True,True,True,[0.3132137  0.40217435 0.06934355 0.21526843],[0.01231599 0.00846465 0.9764713  0.00274807],0.8973115086555481,0.06934355,0.9764713,0.90712775,0.8856238126754761,0.8247849941253662,0.8541224002838135,0.8856238126754761,0.8247849941253662,0.8541224002838135
9,پیمایشی که لاک‌پشت‌های دریایی در ابتدای زندگی خود معمولاً تیره رنگ هستند. گاهی اوقات، لاک‌پشتی بیرون می‌آید که تقریباً سفید رنگ است. هنگامی که این لاک‌پشت رنگ روشن از لانه به سمت اقیانوس خزیده می‌شود، ممکن است در معرض آفتاب سوختگی قرار گیرد. رنگ روشن این لاک‌پشت‌ها چه تأثیری خواهد داشت؟,"['الف) به لاک\u200cپشت\u200cها کمک می\u200cکند که شانس بیشتری برای زادآوری داشته باشند.', 'ب) باعث قوی\u200cتر شدن پوسته لاک\u200cپشت\u200cهای دریایی می\u200cشود.', 'ج) احتمال زنده ماندن لاک\u200cپشت\u200cها برای زادآوری را کاهش می\u200cدهد.', 'د) در توسعه یک گونه جدید از لاک\u200cپشت\u200cهای دریایی کمک می\u200cکند.']",C,تولید مثل لاک‌پشت‌های دریایی به بقا در مراحل اولیه زندگی وابسته است. رنگ روشن آن‌ها ممکن است باعث آفتاب‌سوختگی و کاهش شانس زنده ماندن شود، که به کاهش شانس بقای آن‌ها برای تولید مثل منجر می‌شود.,C,0.5924316048622131,C,0.8946122527122498,True,True,True,True,[0.27984488 0.09014531 0.5924316  0.03757815],[0.0957763  0.00348865 0.89461225 0.00612277],0.9612069129943848,0.5924316,0.89461225,0.30218065,0.8923407793045044,0.8093018531799316,0.8487951755523682,0.8923407793045044,0.8093018531799316,0.8487951755523682
